,Q,Score Type,Time Remaining,Play,COL,SJS
1,1,TD,10:16,William Lim 19 yd pass from Wolfie McDummy (C). (Silver Banana kick),7,0
2,1,FG,1:39,35 yd FG by Matthew McDairmid (C),7,3
4,2,FG,10:05,35 yd FG by Silver Banana,10,3
5,2,TD,3:19,Darrel Williams 1 yd run. (Silver Banana kick),17,3
6,2,FG,0:17,41 yd FG by Matthew McDairmid (C),17,6
8,3,TD,3:55,Jamar Lackson 9 yd pass from Monterey Jack. (Matthew McDairmid (C) kick),17,13
10,4,TD,12:12,William Lim 20 yd pass from Wolfie McDummy (C). (Silver Banana kick),24,13
11,4,FG,7:33,45 yd FG by Matthew McDairmid (C),24,16
12,4,TD,1:25,Rando Cardrissian 9 yd pass from Monterey Jack. (2pt conversion good),24,24
13,4,FG,0:15,41 yd FG by Silver Banana,27,24
