,Q,Score Type,Time Remaining,Play,YKW,CHI
1,1,FG,13:07,48 yd FG by Neo Donaldson,3,0
2,1,FG,11:06,34 yd FG by Kulture Fulture,3,3
3,1,FG,7:48,46 yd FG by Neo Donaldson,6,3
4,1,FG,1:34,19 yd FG by Kulture Fulture,6,6
6,2,TD,11:21,Nate Swift 12 yd pass from Cooter Bigsby. (Neo Donaldson kick),13,6
7,2,TD,6:16,Roger Batoff 1 yd pass from Cooter Bigsby. (Neo Donaldson kick),20,6
9,3,FG,10:45,22 yd FG by Kulture Fulture,20,9
10,3,FG,6:50,42 yd FG by Neo Donaldson,23,9
11,3,TD,4:03,Roger Batoff 5 yd pass from Cooter Bigsby. (Neo Donaldson kick),30,9
12,3,TD,0:00,Felix Hasselhoff 7 yd pass from Rose Jenkins. (Kulture Fulture kick),30,16
14,4,TD,11:04,Tommy Helanen 9 yd pass from Cooter Bigsby. (Neo Donaldson kick),37,16
15,4,FG,5:19,41 yd FG by Neo Donaldson,40,16
