,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,FG,9:27,31 yd FG by Beat Meoff,0,3
2,1,FG,7:43,27 yd FG by Beat Meoff,0,6
3,1,FG,3:32,30 yd FG by Micycle McCormick,3,6
5,2,FG,15:00,36 yd FG by Beat Meoff,3,9
6,2,TD,14:33,Dominic Verns 31 yd interception return. (Beat Meoff kick),3,16
7,2,FG,10:38,46 yd FG by Micycle McCormick,6,16
8,2,FG,0:50,35 yd FG by Beat Meoff,6,19
10,3,TD,11:04,Howard Miller 3 yd pass from Ryan Applehort. (Micycle McCormick kick),13,19
11,3,TD,4:31,Mark Grau 1 yd run. (Micycle McCormick XP no good),19,19
12,3,TD,0:42,Mark Grau 1 yd pass from Ryan Applehort. (Micycle McCormick XP no good),25,19
14,4,FG,10:58,27 yd FG by Beat Meoff,25,22
