Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Allan, C.",AZ,2,10,0,0,1,19
"Rash, T.",AZ,0,0,6,0,1,19
"Aste, W.",AZ,0,0,5,0,1,19
"Unk, J.",AZ,0,0,4,0,1,19
"Arbage, G.",AZ,0,0,3,1,1,19
"Ebris, D.",AZ,0,0,1,0,1,19
"Irving, J.",AZ,0,0,1,0,1,19
"Ruff, R.",AZ,0,0,1,0,1,19
"Olsen, C.",SJS,1,5,1,0,1,19
"Brackenridge, T.",SJS,1,5,0,0,1,19
"Burr-Kirven, J.",SJS,1,5,0,0,1,19
"Thomas-Fox, D.",SJS,1,3,0,0,1,19
"Johnson, R.",SJS,0,0,7,0,1,19
"Pest, T.",SJS,0,0,5,2,1,19
"Lee, B.",SJS,0,0,5,1,1,19
"Tyerucker, Q.",SJS,0,0,4,0,1,19
"Dodggy, B.",SJS,0,0,1,0,1,19
"Pancake, P.",SJS,0,0,0,1,1,19
