,Q,Score Type,Time Remaining,Play,SJS,AZ
1,1,TD,9:44,Saba Donut 8 yd pass from Andrew Reese. (Alex Frost kick),0,7
2,1,TD,5:44,Saba Donut 4 yd pass from Andrew Reese. (Alex Frost kick),0,14
3,1,TD,0:15,Saba Donut 3 yd pass from Andrew Reese. (Alex Frost kick),0,21
5,2,TD,8:33,Kazimir Oles 9 yd pass from Andrew Reese. (Alex Frost kick),0,28
6,2,TD,1:26,Ruff Ruff (R) 8 yd run. (Alex Frost kick),0,35
8,3,TD,8:14,Ruff Ruff (R) 4 yd run. (Alex Frost kick),0,42
10,4,FG,11:51,35 yd FG by Alex Frost,0,45
11,4,FG,6:29,22 yd FG by Alex Frost,0,48
12,4,TD,2:49,Brock Landers 28 yd pass from Andrew Reese. (Alex Frost kick),0,55
13,4,TD,1:21,Brock Landers 5 yd pass from Andrew Reese. (Alex Frost kick),0,62
