,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,11:23,27 yd FG by Kyle Frost,3,0
2,1,TD,7:32,Arbin Asipi III 36 yd interception return. (ForThe Brand (R) kick),3,7
3,1,TD,1:27,Jordan von Matt 39 yd pass from Adriana Falconi. (Kyle Frost kick),10,7
5,2,FG,8:29,41 yd FG by Kyle Frost,13,7
6,2,TD,8:00,Lennox Garnett 23 yd interception return. (Kyle Frost kick),20,7
7,2,TD,3:05,Nacho Varga 9 yd pass from Adriana Falconi. (Kyle Frost kick),27,7
8,2,FG,0:06,21 yd FG by ForThe Brand (R),27,10
10,3,TD,9:26,Farley Hank 1 yd run. (Kyle Frost kick),34,10
11,3,TD,9:06,Errol Maddox 105 yd kickoff return. (ForThe Brand (R) kick),34,17
12,3,TD,1:32,Marquise Brown 22 yd pass from Corvo Havran (R). (ForThe Brand (R) kick),34,24
14,4,FG,8:10,42 yd FG by ForThe Brand (R),34,27
