,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,TD,10:49,Alexandre LeClair 20 yd pass from Borkus Maximus III. (Beat Meoff kick),7,0
2,1,TD,7:15,Verso L'Alto 1 yd pass from Ryan Applehort. (Turk Turkleton kick),7,7
3,1,TD,3:13,Charlie Law 19 yd pass from Borkus Maximus III. (Beat Meoff kick),14,7
4,1,TD,0:00,Alexandre LeClair 10 yd pass from Borkus Maximus III. (Beat Meoff kick),21,7
6,2,FG,12:10,21 yd FG by Beat Meoff,24,7
7,2,TD,5:47,Owen Taylor 1 yd run. (Turk Turkleton kick),24,14
8,2,FG,2:13,29 yd FG by Beat Meoff,27,14
10,3,FG,11:04,31 yd FG by Turk Turkleton,27,17
11,3,FG,8:14,38 yd FG by Beat Meoff,30,17
12,3,TD,2:21,Owen Taylor 7 yd run. (Turk Turkleton kick),30,24
14,4,FG,10:17,31 yd FG by Turk Turkleton,30,27
15,4,FG,1:27,18 yd FG by Turk Turkleton,30,30
17,5,FG,0:16,53 yd FG by Beat Meoff,33,30
