Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Porter, G.",AUS,13,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Mendoza, C.",AUS,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Claxton, S.",AUS,7,0,2,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Lavelle Jr., D.",AUS,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Arianlacher, M.",AUS,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,10,25
"Egghands, T.",AUS,3,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Montain, T.",AUS,3,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Bowie, M.",AUS,2,0,1,1/1,2,0,0,0,0/0/0,1,0,0,0,10,25
"Crooks, L.",AUS,2,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,10,25
"MacGregor, G.",AUS,2,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Banks, J.",NY,12,0,2,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Winchester, H.",NY,11,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"QuakStak, D.",NY,10,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Kirkby, T.",NY,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Andrews, J.",NY,5,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,10,25
"McGullager, T.",NY,4,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,10,25
"Thumper, B.",NY,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Kearse, J.",NY,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Ocewilder, S.",NY,2,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Griddle, M.",NY,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"McTackle, R.",NY,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
