,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,TD,10:32,Antonio Summer 11 yd run. (Alex Frost kick),0,7
2,1,TD,5:45,Antonio Summer 1 yd run. (Alex Frost kick),0,14
4,2,TD,12:09,Errol Maddox 19 yd pass from Childish Gambino. (Alex Frost kick),0,21
5,2,FG,4:25,29 yd FG by Alex Frost,0,24
6,2,TD,1:25,Errol Maddox 14 yd pass from Childish Gambino. (Alex Frost kick),0,31
8,3,TD,7:00,Antonio Summer 4 yd pass from Childish Gambino. (Alex Frost kick),0,38
9,3,FG,0:15,40 yd FG by Alex Frost,0,41
11,4,TD,12:09,Dick Wizardry 6 yd pass from Ryan Applehort. (None Forfeit kick),7,41
12,4,TD,6:58,Dick Wizardry 1 yd run. (None Forfeit kick),14,41
13,4,TD,2:26,Antonio Summer 1 yd run. (Alex Frost kick),14,48
