,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,11:39,Damien Kroetch 4 yd run. (Micycle McCormick kick),7,0
2,1,TD,7:26,Brian Wheat 24 yd pass from Ryan Applehort. (Micycle McCormick kick),14,0
3,1,TD,3:34,Budda Browning 2 yd pass from Avon Blocksdale. (Turk Turkleton kick),14,7
5,2,TD,14:28,Owen Taylor 1 yd run. (Turk Turkleton kick),14,14
6,2,TD,9:31,Dwayne Aaron 31 yd pass from Ryan Applehort. (Micycle McCormick kick),21,14
7,2,TD,4:06,Budda Browning 10 yd pass from Avon Blocksdale. (Turk Turkleton kick),21,21
9,3,TD,10:22,Alexandre LeClair 5 yd pass from Avon Blocksdale. (Turk Turkleton kick),21,28
10,3,TD,6:35,Brian Wheat 11 yd pass from Ryan Applehort. (Micycle McCormick kick),28,28
11,3,TD,3:08,Trey Willie 10 yd pass from Avon Blocksdale. (Turk Turkleton kick),28,35
13,4,SF,14:01,Ryan Applehort tackled for a safety.,28,37
14,4,FG,10:54,25 yd FG by Micycle McCormick,31,37
15,4,FG,5:17,19 yd FG by Micycle McCormick,34,37
16,4,FG,0:25,24 yd FG by Turk Turkleton,34,40
