Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Bush, C.",PHI,1,5,0,0,13,15
"Kalilmoku, I.",PHI,1,3,0,0,13,15
"Varga, N.",PHI,1,5,0,0,13,15
"Hayes, R.",PHI,0,0,6,0,13,15
"Arthur, C.",PHI,0,0,5,0,13,15
"Fillmore, M.",PHI,0,0,5,0,13,15
"Tyler, J.",PHI,0,0,5,0,13,15
"Van Buren, M.",PHI,0,0,3,0,13,15
"Brannigan, Z.",PHI,0,0,2,0,13,15
"Jones, V.",PHI,0,0,1,0,13,15
"Polk, J.",PHI,0,0,1,0,13,15
"Oats, S.",BAL,2,10,0,0,13,15
"Grey, S.",BAL,1,5,3,2,13,15
"Maddox, E.",BAL,1,5,0,0,13,15
"L'Alto, V.",BAL,0,0,7,0,13,15
"Jeremy, R.",BAL,0,0,5,0,13,15
"Diggler, D.",BAL,0,0,4,0,13,15
"Steele, R.",BAL,0,0,3,0,13,15
"Star, L.",BAL,0,0,2,0,13,15
"Harp, D.",BAL,0,0,1,0,13,15
