,Q,Score Type,Time Remaining,Play,OCO,COL
1,1,TD,1:16,Carlito Crush 44 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),7,0
3,2,TD,12:33,Dwayne Aaron 2 yd pass from Micycle McCormick. (Peg Leg kick),7,7
4,2,TD,9:59,Carlito Crush 52 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson XP no good),13,7
5,2,TD,7:48,Dwayne Aaron 41 yd pass from Micycle McCormick. (Peg Leg kick),13,14
6,2,TD,0:37,Jaylon Broxton 6 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),20,14
8,3,TD,9:06,Devo (R) Cansino 4 yd run. (Peg Leg kick),20,21
9,3,TD,1:08,Mark Grau 1 yd pass from Micycle McCormick. (Peg Leg kick),20,28
11,4,TD,10:05,Ricky Adams 6 yd pass from Gus T.T. Showbiz. (2pt conversion failed),26,28
12,4,FG,5:51,25 yd FG by Peg Leg,26,31
13,4,TD,1:11,Ricky Adams 26 yd pass from Gus T.T. Showbiz. (2pt conversion failed),32,31
