,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,11:34,42 yd FG by ForThe Brand,0,3
2,1,FG,8:20,40 yd FG by Baxter Frost (R),3,3
4,2,FG,11:24,24 yd FG by Baxter Frost (R),6,3
5,2,TD,4:40,Ludicolo Bigby 2 yd run. (ForThe Brand kick),6,10
6,2,FG,1:56,32 yd FG by Baxter Frost (R),9,10
8,3,TD,10:32,Ahri Espeeyeeseetee 6 yd pass from Corvo Havran. (ForThe Brand kick),9,17
9,3,TD,4:21,Nacho Varga 22 yd pass from Adriana Falconi. (Baxter Frost (R) kick),16,17
11,4,FG,14:08,19 yd FG by ForThe Brand,16,20
12,4,TD,9:23,Sam Torenson 3 yd run. (Baxter Frost (R) kick),23,20
13,4,TD,4:00,Verso L'Alto 1 yd pass from Corvo Havran. (ForThe Brand kick),23,27
