,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,12:25,Ricky Adams 1 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),7,0
2,1,TD,7:50,Tegan Atwell 4 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),14,0
3,1,TD,3:45,Budda Browning 7 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,7
5,2,TD,14:18,Darren Morris 4 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,14
6,2,FG,10:35,41 yd FG by Dean Jackson,14,17
7,2,FG,6:45,49 yd FG by Adam (R) Anderson,17,17
9,3,FG,10:44,24 yd FG by Adam (R) Anderson,20,17
10,3,TD,3:59,Balthazar Crindy 4 yd pass from Kevin Fitzpatrick. (Dean Jackson XP no good),20,23
11,3,TD,1:05,Ricky Adams 12 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),27,23
13,4,TD,12:50,Viggo Squanch 37 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),27,30
14,4,TD,8:48,Seer Zephyrous 2 yd run. (Adam (R) Anderson kick),34,30
15,4,TD,8:25,Reg Mackworthy 1 yd run. (Dean Jackson kick),34,37
16,4,TD,3:42,Balthazar Crindy 2 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),34,44
17,4,TD,0:04,Tegan Atwell 31 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),41,44
