Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Blaze, J.",OCO,8,65,8.1,17,0,10,21
"Banks II, D.",OCO,5,59,11.8,24,1,10,21
"Mongo, H.",OCO,3,28,9.3,11,1,10,21
"Kurisuto, R.",OCO,2,21,10.5,14,0,10,21
"Sarvepally, S.",OCO,1,8,8,8,0,10,21
"Z, D.",OCO,1,8,8,8,0,10,21
"Bigby, L.",OCO,1,7,7,7,0,10,21
"Owens, A.",COL,6,46,7.7,15,0,10,21
"Forty-Two, L.",COL,4,72,18,31,1,10,21
"Bishop, J.",COL,4,53,13.2,24,1,10,21
"Vincent, M.",COL,4,15,3.8,5,0,10,21
"Sauce, E.",COL,3,17,5.7,7,0,10,21
"Arrow, R.",COL,1,31,31,31,0,10,21
