Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Miller, H.",COL,6,118,19.7,35,0,10,13
"Bishop, J.",COL,6,106,17.7,39,2,10,13
"L'Alto, V.",COL,6,51,8.5,15,0,10,13
"Chipmunk, A.",COL,5,26,5.2,9,0,10,13
"LaMelllana, S.",COL,2,23,11.5,15,0,10,13
"Cansino, D.",COL,1,2,2,2,1,10,13
"DiMirio, P.",NO,9,94,10.4,31,1,10,13
"Hasselhoff, F.",NO,5,85,17,38,0,10,13
"Swift, T.",NO,4,37,9.2,11,0,10,13
"Fyodorovich, V.",NO,3,39,13,23,0,10,13
"Halvorsen, T.",NO,2,19,9.5,14,0,10,13
"Gore, B.",NO,1,5,5,5,0,10,13
"Danger, H.",NO,1,4,4,4,0,10,13
"Danielsson, A.",NO,1,4,4,4,0,10,13
