,Q,Score Type,Time Remaining,Play,AUS,NO
1,1,TD,8:02,Ashley Owens 2 yd run. (Alfredo Crisco kick),7,0
2,1,TD,3:13,Forrest Gump 1 yd run. (Alex Frost kick),7,7
3,1,TD,0:00,Ashley Owens 4 yd pass from Easton Cole. (Alfredo Crisco kick),14,7
5,2,FG,7:18,21 yd FG by Alfredo Crisco,17,7
6,2,TD,5:01,Vladimir Fyodorovich 14 yd pass from Stan Francisco. (Alex Frost kick),17,14
7,2,TD,1:20,Django Anoa'i 26 yd pass from Easton Cole. (Alfredo Crisco kick),24,14
9,3,FG,10:46,34 yd FG by Alfredo Crisco,27,14
10,3,FG,4:03,44 yd FG by Alex Frost,27,17
12,4,FG,15:00,36 yd FG by Alfredo Crisco,30,17
13,4,FG,3:51,47 yd FG by Alfredo Crisco,33,17
