Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Crush, C.",OCO,9,111,12.3,18,0,8,10
"Westfield, B.",OCO,4,58,14.5,29,0,8,10
"Broxton, J.",OCO,4,57,14.2,28,0,8,10
"Zephyrous, S.",OCO,4,27,6.8,11,1,8,10
"Spector, M.",OCO,3,57,19,24,0,8,10
"Adams, R.",OCO,3,6,2,5,0,8,10
"King, J.",OCO,1,13,13,13,0,8,10
"Winchester, A.",OCO,1,1,1,1,0,8,10
"Brannigan, Z.",SJS,7,41,5.9,12,0,8,10
"Flash, X.",SJS,5,112,22.4,41,0,8,10
"Weston, S.",SJS,4,52,13,20,0,8,10
"Oles, K.",SJS,4,45,11.2,14,0,8,10
"Tuck Jr., T.",SJS,3,19,6.3,11,0,8,10
"Lagerfield, E.",SJS,1,1,1,1,0,8,10
