,Q,Score Type,Time Remaining,Play,OCO,COL
1,1,TD,10:00,Tegan Atwell 1 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,0
2,1,TD,5:33,Ricky Adams 4 yd run. (Adam Anderson kick),14,0
4,2,TD,10:58,Tegan Atwell 8 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),21,0
5,2,TD,3:14,None (R) Sunnycursed 6 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),28,0
7,3,TD,11:20,Micycle McCormick 7 yd run. (Peg Leg kick),28,7
8,3,FG,6:42,38 yd FG by Peg Leg,28,10
9,3,FG,4:42,29 yd FG by Adam Anderson,31,10
10,3,TD,0:30,Tegan Atwell 5 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),38,10
12,4,FG,6:34,44 yd FG by Peg Leg,38,13
13,4,TD,4:27,Elvin Enchant 59 yd interception return. (Adam Anderson kick),45,13
