,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,7:43,Joseph Askins 7 yd pass from Mat Akselsen. (Joseph Lombardi kick),0,7
2,1,FG,0:13,45 yd FG by Turk Turkleton,3,7
4,2,TD,6:53,Bailey Cook 3 yd pass from Mat Akselsen. (Joseph Lombardi kick),3,14
5,2,TD,2:12,Owen Taylor 1 yd run. (Turk Turkleton XP no good),9,14
6,2,FG,1:33,41 yd FG by Joseph Lombardi,9,17
8,3,TD,6:30,Gosh Jarden 6 yd pass from Mat Akselsen. (Joseph Lombardi kick),9,24
9,3,TD,5:01,Clee Hardrool 27 yd interception return. (Joseph Lombardi kick),9,31
10,3,TD,2:10,Eric Kennedy 2 yd pass from Mat Akselsen. (Joseph Lombardi kick),9,38
12,4,TD,11:25,Trey Willie 60 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),15,38
13,4,TD,8:19,Gosh Jarden 31 yd pass from Mat Akselsen. (Joseph Lombardi kick),15,45
14,4,TD,4:30,None Stormblessed 20 yd pass from Avon Blocksdale. (Turk Turkleton kick),22,45
15,4,FG,0:00,28 yd FG by Joseph Lombardi,22,48
