,Q,Score Type,Time Remaining,Play,AZ,CHI
1,1,FG,12:10,43 yd FG by Spencer Lawes,3,0
2,1,FG,1:58,26 yd FG by Kulture Fulture,3,3
4,2,TD,13:37,Slim Shady 1 yd run. (Spencer Lawes kick),10,3
5,2,TD,12:51,Sam Torenson (R) 10 yd run. (Kulture Fulture kick),10,10
6,2,TD,10:11,Slim Shady 4 yd run. (Spencer Lawes kick),17,10
7,2,FG,5:22,32 yd FG by Kulture Fulture,17,13
9,3,FG,11:23,40 yd FG by Kulture Fulture,17,16
10,3,FG,1:52,28 yd FG by Kulture Fulture,17,19
12,4,TD,10:41,Sam Torenson (R) 1 yd run. (Kulture Fulture kick),17,26
13,4,TD,8:08,Jammerson Irving 5 yd pass from Andrew Reese. (Spencer Lawes kick),24,26
14,4,TD,4:31,Roger Batoff 7 yd pass from Rose Jenkins. (Kulture Fulture kick),24,33
