,Q,Score Type,Time Remaining,Play,AUS,NO
1,1,FG,9:31,23 yd FG by Lefty Louis,0,3
2,1,FG,2:37,26 yd FG by Pseudo QB (R),3,3
4,2,TD,6:14,Kichwa Jones 3 yd run. (Pseudo QB (R) kick),10,3
5,2,TD,3:20,Ed Barker 13 yd pass from Ben Slothlisberger. (Lefty Louis kick),10,10
6,2,FG,0:28,46 yd FG by Lefty Louis,10,13
8,3,TD,10:39,Austin McCormick 5 yd pass from Ben Slothlisberger. (Lefty Louis kick),10,20
9,3,TD,4:07,Marcella Toriki 5 yd run. (Lefty Louis kick),10,27
11,4,FG,7:35,38 yd FG by Pseudo QB (R),13,27
12,4,TD,5:03,Marcella Toriki 4 yd run. (Lefty Louis kick),13,34
13,4,TD,0:00,None Videl-San 49 yd pass from Easton Cole (C). (Pseudo QB (R) kick),20,34
