,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,FG,9:08,38 yd FG by Dougie Smalls,3,0
2,1,TD,5:44,Deondre Thomas-Fox 10 yd pass from Dan Wright. (Matthew McDairmid kick),3,7
3,1,TD,0:27,Nate Swift 3 yd pass from Cooter Bigsby. (Dougie Smalls XP no good),9,7
5,2,FG,5:43,32 yd FG by Dougie Smalls,12,7
6,2,FG,0:08,26 yd FG by Dougie Smalls,15,7
8,3,TD,7:03,Mathias Hanyadi 3 yd run. (Dougie Smalls kick),22,7
9,3,FG,4:24,56 yd FG by Matthew McDairmid,22,10
10,3,TD,0:51,Action Jackson 23 yd pass from Dan Wright. (Matthew McDairmid XP no good),22,16
12,4,TD,8:36,Willie B. Hardagain 19 yd pass from Cooter Bigsby. (Dougie Smalls kick),29,16
13,4,TD,2:20,Rando Cardrissian (R) 4 yd run. (Matthew McDairmid kick),29,23
