,Q,Score Type,Time Remaining,Play,LV,YKW
1,1,TD,9:25,Bailey Cook 32 yd pass from Mat Akselsen. (Joseph Lombardi kick),0,7
2,1,FG,5:44,46 yd FG by Bojo Kicksit,3,7
3,1,FG,0:24,38 yd FG by Bojo Kicksit,6,7
5,2,FG,13:52,22 yd FG by Joseph Lombardi,6,10
6,2,TD,11:26,Franklin Harris Jr. 25 yd pass from Mat Akselsen. (Joseph Lombardi kick),6,17
8,3,FG,10:44,23 yd FG by Joseph Lombardi,6,20
9,3,TD,6:14,John Baker 3 yd pass from Logan Noble. (Bojo Kicksit kick),13,20
11,4,FG,13:08,27 yd FG by Joseph Lombardi,13,23
12,4,TD,7:34,Eric Kennedy 8 yd pass from Mat Akselsen. (Joseph Lombardi kick),13,30
13,4,FG,1:33,35 yd FG by Joseph Lombardi,13,33
