,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,TD,9:59,Bailey Cook 9 yd pass from Mat Akselsen. (None Forfeit kick),7,0
2,1,TD,6:51,John Wachter 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,7
4,2,FG,0:27,35 yd FG by None Forfeit,10,7
6,3,TD,12:59,Eric Kennedy 1 yd run. (None Forfeit kick),17,7
7,3,TD,8:26,Clee Hardrool 6 yd interception return. (None Forfeit kick),24,7
8,3,TD,5:32,Avon Blocksdale 1 yd run. (Turk Turkleton kick),24,14
9,3,TD,2:55,Eric Kennedy 30 yd pass from Mat Akselsen. (None Forfeit kick),31,14
11,4,TD,14:22,Owen Taylor 7 yd run. (Turk Turkleton kick),31,21
12,4,FG,11:26,34 yd FG by None Forfeit,34,21
13,4,TD,3:16,Bailey Cook 33 yd pass from Mat Akselsen. (None Forfeit kick),41,21
14,4,TD,1:01,None Stormblessed 18 yd pass from Avon Blocksdale. (Turk Turkleton kick),41,28
