,Q,Score Type,Time Remaining,Play,BAL,NO
2,2,TD,13:35,Borro Gore 3 yd run. (Beat Meoff kick),0,7
3,2,FG,10:25,45 yd FG by Turk Turkleton,3,7
4,2,FG,2:35,24 yd FG by Turk Turkleton,6,7
6,3,FG,12:27,41 yd FG by Turk Turkleton,9,7
7,3,SF,12:00,Borkus Maximus III tackled for a safety.,11,7
8,3,FG,5:18,19 yd FG by Turk Turkleton,14,7
9,3,TD,0:35,Owen Taylor 1 yd run. (Turk Turkleton kick),21,7
11,4,TD,11:30,Borkus Maximus III 19 yd run. (Beat Meoff kick),21,14
12,4,TD,6:34,Owen Taylor 1 yd run. (Turk Turkleton XP no good),27,14
13,4,TD,0:54,Thjalfi (R) Halvorsen 11 yd pass from Borkus Maximus III. (Beat Meoff kick),27,21
