Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Lim, W.",COL,6,111,18.5,40,0,1,26
"Jenkins, L.",COL,3,40,13.3,25,0,1,26
"Batista, D.",COL,3,28,9.3,15,0,1,26
"Williams, D.",COL,2,21,10.5,18,1,1,26
"George, D.",COL,2,13,6.5,7,0,1,26
"Gilbert, R.",COL,1,6,6,6,0,1,26
"Robertoswki, G.",COL,1,3,3,3,0,1,26
"Witheblock, M.",SAR,6,102,17,41,0,1,26
"Manclaw, C.",SAR,6,19,3.2,5,0,1,26
"Angler, J.",SAR,4,24,6,9,0,1,26
"J'Vathon, T.",SAR,2,25,12.5,15,0,1,26
"Gordon, R.",SAR,2,17,8.5,11,0,1,26
"Chan, R.",SAR,2,10,5,7,0,1,26
"Back, R.",SAR,1,10,10,10,0,1,26
