,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,FG,13:01,41 yd FG by None Forfeit,3,0
2,1,FG,4:44,35 yd FG by None Forfeit,6,0
3,1,TD,0:00,Darren Smallwood 2 yd run. (Iyah Blewitt kick),6,7
5,2,FG,12:19,39 yd FG by Iyah Blewitt,6,10
6,2,FG,2:20,28 yd FG by Iyah Blewitt,6,13
7,2,FG,0:15,53 yd FG by None Forfeit,9,13
9,3,TD,11:32,Mat Akselsen 3 yd run. (None Forfeit kick),16,13
10,3,TD,2:11,Franklin Harris Jr. 14 yd pass from Mat Akselsen. (None Forfeit kick),23,13
12,4,TD,12:54,Darren Smallwood 1 yd run. (Iyah Blewitt kick),23,20
13,4,FG,4:40,32 yd FG by None Forfeit,26,20
