,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,FG,11:28,36 yd FG by Neo Donaldson,3,0
2,1,FG,8:23,45 yd FG by Kicky Bobby,3,3
3,1,TD,1:40,Mathias Hanyadi (R) 5 yd run. (Neo Donaldson kick),10,3
5,2,TD,11:01,Mathias Hanyadi (R) 2 yd run. (Neo Donaldson kick),17,3
6,2,TD,2:31,Quindarius Tyerucker (R) 4 yd run. (Kicky Bobby kick),17,10
7,2,FG,0:08,38 yd FG by Neo Donaldson,20,10
9,3,TD,13:08,Dan Wright 89 yd run. (Kicky Bobby kick),20,17
10,3,TD,10:48,Cooter Bigsby 11 yd run. (Neo Donaldson kick),27,17
12,4,TD,5:04,Orien Drake (R) 14 yd pass from Cooter Bigsby. (Neo Donaldson kick),34,17
13,4,FG,3:25,23 yd FG by Neo Donaldson,37,17
