Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Wright, D.",SJS,1,5,6,0
"Jahelpme, H.",SJS,1,5,5,0
"Rucker, F.",SJS,1,10,5,0
"Tacktheritrix, J.",SJS,1,5,2,0
"Davenport, C.",SJS,1,5,1,0
"McKoutchie, M.",SJS,0,0,7,0
"Probincrux III, D.",SJS,0,0,4,0
"Olsen, C.",SJS,0,0,1,0
"Salami, T.",OCO,2,20,0,0
"Dong, J.",OCO,1,5,6,0
"Boult, T.",OCO,1,5,5,1
"Skarsgard, T.",OCO,1,10,0,0
"Johns, A.",OCO,0,0,3,0
"Thompson, P.",OCO,0,0,2,0
"Blaze, J.",OCO,0,0,1,0
"Stennet, J.",OCO,0,0,1,0
"Zephyrous, S.",OCO,0,0,1,0
