Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Canton, J.",YKW,5,98,19.6,40,1,1,15
"Parker, J.",YKW,4,42,10.5,20,0,1,15
"Wizardry, D.",YKW,3,42,14,21,0,1,15
"Helanen, T.",YKW,2,28,14,21,0,1,15
"Swift, N.",YKW,2,24,12,13,0,1,15
"Pitcher, A.",YKW,2,14,7,8,0,1,15
"Marshall, M.",YKW,1,1,1,1,0,1,15
"Moore, S.",AZ,8,54,6.8,15,1,1,15
"Hasselhoff, F.",AZ,6,66,11,22,1,1,15
"Hardwick, S.",AZ,6,62,10.3,25,1,1,15
"Landers, B.",AZ,2,21,10.5,11,0,1,15
"Adams, R.",AZ,2,16,8,12,0,1,15
"Irving, J.",AZ,2,15,7.5,10,0,1,15
"Shady, S.",AZ,1,12,12,12,0,1,15
