Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"O'Leary, S.",CHI,4,90,22.5,32,0,8,24
"Rodriguez, B.",CHI,4,28,7,12,0,8,24
"Scabbia, L.",CHI,3,28,9.3,11,1,8,24
"Gelbman, T.",CHI,2,16,8,9,0,8,24
"Hayes, V.",CHI,2,8,4,6,0,8,24
"Tirtawidjaja, J.",CHI,2,8,4,4,0,8,24
"Yoda, B.",CHI,2,5,2.5,4,0,8,24
"Phillips, J.",OCO,8,106,13.2,30,0,8,24
"Trunks, F.",OCO,5,70,14,41,0,8,24
"Mongo, H.",OCO,4,53,13.2,24,0,8,24
"Despacito Jr., G.",OCO,3,65,21.7,30,1,8,24
"Nakamura, T.",OCO,1,9,9,9,0,8,24
"McZeal, K.",OCO,1,4,4,4,0,8,24
