,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,9:07,Flash Panda 23 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),7,0
2,1,FG,6:37,42 yd FG by Blago Kokot (R),7,3
3,1,TD,4:04,Flash Panda 65 yd punt return. (Jake Fencik (R) kick),14,3
4,1,TD,0:43,Chris Kross 12 yd pass from Colby Jack. (Blago Kokot (R) kick),14,10
6,2,FG,11:34,39 yd FG by Jake Fencik (R),17,10
7,2,FG,9:07,37 yd FG by Blago Kokot (R),17,13
8,2,FG,6:36,32 yd FG by Blago Kokot (R),17,16
9,2,TD,2:40,Flash Panda 11 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),24,16
12,4,TD,10:57,Fuzzy Dotson 3 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),31,16
13,4,FG,4:24,40 yd FG by Blago Kokot (R),31,19
