,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,FG,5:34,47 yd FG by Peg Leg,0,3
2,1,TD,0:00,Alexandre LeClair 42 yd pass from Borkus Maximus III. (Peg Leg kick),0,10
4,2,TD,8:53,Paul DiMirio 5 yd pass from Borkus Maximus III. (Peg Leg kick),0,17
5,2,FG,0:18,37 yd FG by Peg Leg,0,20
7,3,TD,12:33,Darren Smallwood 1 yd run. (Peg Leg kick),0,27
8,3,TD,10:47,Marc Spector 6 yd interception return. (Bradley Madlad kick),7,27
9,3,TD,6:37,Carlito Crush 20 yd pass from Borkus Maximus III. (Peg Leg kick),7,34
10,3,FG,0:03,37 yd FG by Peg Leg,7,37
12,4,FG,12:28,44 yd FG by Peg Leg,7,40
13,4,TD,5:57,Paul DiMirio 7 yd pass from Borkus Maximus III. (Peg Leg kick),7,47
14,4,TD,3:59,Darren Smallwood 3 yd run. (Peg Leg kick),7,54
15,4,TD,1:13,Mayran Jackson 5 yd pass from Borkus Maximus III. (Peg Leg kick),7,61
