,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,FG,9:44,18 yd FG by Herbert Prohaska,0,3
2,1,FG,6:18,47 yd FG by Venus Powers,3,3
3,1,FG,0:31,37 yd FG by Herbert Prohaska,3,6
5,2,FG,0:29,36 yd FG by Herbert Prohaska,3,9
7,3,TD,12:20,Forrest Gump 10 yd pass from Stan Francisco. (Herbert Prohaska kick),3,16
8,3,FG,7:04,26 yd FG by Venus Powers,6,16
9,3,FG,4:29,41 yd FG by Herbert Prohaska,6,19
10,3,FG,0:28,35 yd FG by Venus Powers,9,19
12,4,TD,12:38,Forrest Gump 4 yd run. (Herbert Prohaska kick),9,26
13,4,TD,5:33,Marcella Toriki 3 yd run. (Herbert Prohaska kick),9,33
14,4,TD,0:45,Fuzzy Dotson 52 yd pass from Brock Phoenix. (Venus Powers kick),16,33
