,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,11:59,Hugh Mongo 32 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,0
3,2,TD,13:03,Forrest Gump 2 yd run. (Herbert Prohaska (R) kick),7,7
4,2,FG,7:52,27 yd FG by Alex Dasistwirklichseinnachname,10,7
5,2,TD,2:41,Austin McCormick (R) 22 yd pass from Stan Francisco. (Herbert Prohaska (R) XP no good),10,13
7,3,TD,11:15,Marcella Toriki 5 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),10,20
8,3,TD,2:09,Johnny Blaze 6 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),17,20
10,4,TD,14:37,Marcella Toriki 4 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),17,27
11,4,SF,14:23,Franklin Armstrong tackled for a safety.,17,29
12,4,FG,12:28,38 yd FG by Herbert Prohaska (R),17,32
13,4,SF,11:45,Franklin Armstrong tackled for a safety.,17,34
14,4,TD,0:49,Johnny Blaze 11 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),24,34
