Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Brackenridge, T.",SJS,10,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Bass, L.",SJS,9,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,4,26
"Triplet, R.",SJS,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,4,26
"Fisher, G.",SJS,5,2,1,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Hilliard, R.",SJS,5,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,4,26
"Cloudera, Y.",SJS,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Lanier, B.",SJS,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Allen, O.",SJS,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Jaxon-Waxon, X.",SJS,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Stein, P.",SJS,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Vaughne, R.",SJS,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Crowder, R.",SJS,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Koniecpolski, S.",AZ,13,0,0,1/1,1,1,0,1,0/0/0,1,0,0,0,4,26
"Wilf, G.",AZ,8,0,1,0/1,0,0,0,0,0/0/0,1,0,0,0,4,26
"Burfict, L.",AZ,6,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Crunk, T.",AZ,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Jadakiss, D.",AZ,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Scarlett, D.",AZ,5,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,4,26
"Gillion, M.",AZ,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Noble Jr., L.",AZ,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Roth, C.",AZ,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Miller, P.",AZ,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,4,26
"Eriksen, W.",AZ,1,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,4,26
