,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,FG,5:47,20 yd FG by Matthew McDairmid,0,3
3,2,TD,11:22,Jaja Ding Dong (R) 3 yd pass from Monterey Jack. (Matthew McDairmid kick),0,10
4,2,TD,5:17,Stanislaw Koniecpolski 44 yd interception return. (J.J. Jay-Jaymison kick),7,10
5,2,FG,0:14,41 yd FG by Matthew McDairmid,7,13
7,3,FG,10:47,43 yd FG by Matthew McDairmid,7,16
8,3,TD,5:27,Thomas Passmann 3 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),14,16
10,4,TD,14:38,Taro Raimon 7 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),21,16
11,4,FG,5:20,21 yd FG by J.J. Jay-Jaymison,24,16
12,4,TD,3:56,Saba Donut 15 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),31,16
13,4,TD,0:48,Darren Pama (R) 7 yd run. (J.J. Jay-Jaymison kick),38,16
