Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Landers, B.",AZ,1,5,0,0
"Moore, S.",AZ,1,10,0,0
"Rash, T.",AZ,0,0,7,0
"Arbage, G.",AZ,0,0,3,0
"Aste, W.",AZ,0,0,3,0
"Ebris, D.",AZ,0,0,3,0
"Irving, J.",AZ,0,0,3,0
"Murphy, J.",AZ,0,0,1,0
"A'Ton, L.",AUS,1,15,10,0
"A'Barelyanything, L.",AUS,1,5,5,1
"A'Moderateamount, L.",AUS,1,10,5,0
"Cole, E.",AUS,1,15,0,0
"Edmond, H.",AUS,1,1,0,0
"A'Little, L.",AUS,0,0,5,0
"Beaver-Dantes, E.",AUS,0,0,3,0
"Owens, A.",AUS,0,0,3,0
"Larson, P.",AUS,0,0,2,0
"Mendonca, M.",AUS,0,0,2,0
