,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,TD,11:03,Vladimir Fyodorovich 12 yd pass from Borkus Maximus III. (Beat Meoff kick),0,7
2,1,TD,8:09,Dick (R) Wizardry 8 yd run. (None Forfeit kick),7,7
3,1,FG,4:41,36 yd FG by Beat Meoff,7,10
4,1,TD,0:04,Borro Gore 3 yd run. (Beat Meoff kick),7,17
6,2,TD,8:45,Brad Pennington 50 yd pass from Ryan Applehort. (None Forfeit kick),14,17
7,2,FG,5:57,34 yd FG by None Forfeit,17,17
8,2,FG,0:01,25 yd FG by None Forfeit,20,17
10,3,FG,4:33,22 yd FG by Beat Meoff,20,20
11,3,FG,2:07,52 yd FG by None Forfeit,23,20
13,4,TD,13:19,Borro Gore 1 yd run. (Beat Meoff kick),23,27
14,4,TD,3:16,Borro Gore 6 yd run. (Beat Meoff kick),23,34
15,4,TD,1:07,Josh Parker 9 yd pass from Ryan Applehort. (2pt conversion good),31,34
16,4,FG,0:02,30 yd FG by None Forfeit,34,34
18,5,FG,9:13,23 yd FG by Beat Meoff,34,37
