,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,8:18,Wolfie McDummy 2 yd run. (Silver Banana kick),7,0
2,1,TD,5:47,Wolfie McDummy 3 yd run. (Silver Banana kick),14,0
3,1,TD,0:00,Ashley Owens 1 yd run. (Silver Banana XP no good),20,0
5,2,FG,9:21,44 yd FG by Datsum PhastBawl (R),20,3
6,2,TD,5:00,Leeroy Jenkins (R) 11 yd pass from Wolfie McDummy. (Silver Banana kick),27,3
7,2,TD,1:13,Nick Kaepercolin 12 yd pass from Chika Fujiwara. (Datsum PhastBawl (R) kick),27,10
9,3,TD,9:02,William Lim 16 yd pass from Wolfie McDummy. (Silver Banana kick),34,10
10,3,FG,5:52,29 yd FG by Datsum PhastBawl (R),34,13
12,4,TD,12:55,William Lim 4 yd pass from Wolfie McDummy. (Silver Banana kick),41,13
13,4,TD,5:14,Thubba Bumper 3 yd run. (Silver Banana kick),48,13
14,4,TD,0:44,Rick Skuff 4 yd pass from Chika Fujiwara. (Datsum PhastBawl (R) kick),48,20
