Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Sierra, R.",OCO,2,25,0,0,6,8
"Remington, J.",OCO,1,10,6,0,6,8
"Savage, B.",OCO,1,5,2,0,6,8
"Smith, W.",OCO,0,0,7,1,6,8
"Wesson, D.",OCO,0,0,5,0,6,8
"Ruger, W.",OCO,0,0,4,0,6,8
"Yates, J.",OCO,0,0,3,0,6,8
"Pierno, N.",COL,2,10,0,0,6,8
"Down, D.",COL,1,5,8,0,6,8
"Windchesthair, A.",COL,1,5,6,1,6,8
"Knuckler, B.",COL,1,15,6,0,6,8
"Vibrations, F.",COL,1,5,6,0,6,8
"O'Sullivan, S.",COL,1,0,2,0,6,8
"Ruckus, B.",COL,1,5,0,0,6,8
"Wheat, B.",COL,1,10,0,0,6,8
"Bastard, F.",COL,0,0,8,0,6,8
"Grau, M.",COL,0,0,2,1,6,8
