,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,SF,10:36,Dan Wright tackled for a safety.,2,0
2,1,TD,8:15,AJ Lattimer 42 yd interception return. (Alex Dasistwirklichseinnachname kick),9,0
3,1,TD,4:28,Franklin Armstrong 3 yd run. (Alex Dasistwirklichseinnachname kick),16,0
4,1,TD,0:38,Action Jackson 12 yd pass from Dan Wright. (Kicky Bobby kick),16,7
6,2,TD,12:49,Dexter Banks II 43 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),23,7
7,2,TD,8:18,Quindarius Tyerucker (R) 4 yd run. (Kicky Bobby kick),23,14
9,3,TD,9:05,Apollo Reed 4 yd run. (Alex Dasistwirklichseinnachname kick),30,14
10,3,TD,4:20,Action Jackson 25 yd pass from Dan Wright. (Kicky Bobby kick),30,21
12,4,TD,12:50,Hugh Mongo 7 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),37,21
13,4,TD,8:28,D Z 8 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),44,21
