,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,TD,8:13,Dick Wizardry 2 yd run. (Stephen Harris Jr kick),0,7
2,1,FG,5:31,39 yd FG by Alfredo Crisco,3,7
3,1,TD,2:44,Morgan Marshall 1 yd run. (Stephen Harris Jr kick),3,14
5,2,FG,15:00,46 yd FG by Stephen Harris Jr,3,17
6,2,TD,11:24,William H. Harrison 25 yd interception return. (Alfredo Crisco kick),10,17
7,2,FG,0:00,53 yd FG by Stephen Harris Jr,10,20
9,3,TD,10:50,Aksel Danielsson 4 yd run. (Alfredo Crisco kick),17,20
10,3,TD,5:44,Tommy Helanen 19 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),17,27
12,4,FG,14:18,32 yd FG by Alfredo Crisco,20,27
13,4,TD,9:34,Tommy Helanen 14 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),20,34
14,4,TD,5:12,Nate Swift 2 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),20,41
