,gameID,S,teamID,Q,time,totTime,down,distance,side,yard,play,awayTeam,homeTeam,teamPoss,dist2goal,awayScore,homeScore
0,15,4,1,1,15:00,3600,0,0,YKW,31,"Kickoff of 62 yards. Returned by Leonard, M. for 28 yards. First Down!",YKW,BAL,BAL,31,0,0
1,15,4,2,1,14:53,3593,1,10,YKW,31,"Pass by Jack, C. to Sakura (C), K. falls incomplete.",YKW,BAL,YKW,69,0,0
2,15,4,2,1,14:38,3578,2,10,YKW,31,"Pass by Jack, C. to Vermillion (R), J. was dropped! Incomplete.",YKW,BAL,YKW,69,0,0
3,15,4,2,1,14:23,3563,3,10,YKW,31,"Pass by Jack, C., complete to Rechs (R), Z. for 13 yds. Tackle by Z, D.. First Down!",YKW,BAL,YKW,69,0,0
4,15,4,2,1,13:35,3515,1,10,YKW,44,"Rush by Z, D. for 9 yds. Tackle by Harris, C..",YKW,BAL,YKW,56,0,0
5,15,4,2,1,12:59,3479,2,1,BAL,46,"Pass by Jack, C. to Sakura (C), K. falls incomplete.",YKW,BAL,YKW,46,0,0
6,15,4,2,1,12:44,3464,3,1,BAL,46,"Pass by Jack, C., complete to Sakura (C), K. for 9 yds. Tackle by Stackinpaper, B.. Baltimore Penalty on Annastesia, N.: Roughing the Passer. First Down!",YKW,BAL,YKW,46,0,0
7,15,4,2,1,12:22,3442,1,10,BAL,21,"Rush by Rowe, D. for 3 yds. Tackle by De Ville (C), D..",YKW,BAL,YKW,21,0,0
8,15,4,2,1,11:44,3404,2,7,BAL,18,"Pass by Jack, C. to Rechs (R), Z. falls incomplete.",YKW,BAL,YKW,18,0,0
9,15,4,2,1,11:29,3389,3,7,BAL,18,"Pass by Jack, C. to Kross, C. was dropped! Incomplete.",YKW,BAL,YKW,18,0,0
10,15,4,2,1,11:12,3372,4,7,BAL,18,"35 yard FG by Kokot (R), B. is NO good.",YKW,BAL,YKW,18,0,0
11,15,4,1,1,11:12,3372,1,10,BAL,25,"Pass by Fujiwara (C), C. to Howlett (R), D. falls incomplete.",YKW,BAL,BAL,75,0,0
12,15,4,1,1,10:58,3358,2,10,BAL,25,"Rush by Fukushu, M. for 1 yds. Tackle by Quaid, D..",YKW,BAL,BAL,75,0,0
13,15,4,1,1,10:35,3335,3,8,BAL,27,"Pass by Fujiwara (C), C., complete to Ash, R. for 4 yds. Tackle by Quaid, D..",YKW,BAL,BAL,73,0,0
