,gameID,S,teamID,Q,time,totTime,down,distance,side,yard,play,awayTeam,homeTeam,teamPoss,dist2goal,awayScore,homeScore
0,15,1,1,1,15:00,3600,0,0,YKW,20,"Kickoff of 72 yards. Returned by Walker (R), M. for 20 yards. First Down!",YKW,BAL,BAL,20,0,0
1,15,1,2,1,14:54,3594,1,10,YKW,20,"Rush by Z, D. for 3 yds. Tackle by Kennedy, D..",YKW,BAL,YKW,80,0,0
2,15,1,2,1,14:18,3558,2,7,YKW,23,"Rush by Z, D. for a short gain. Tackle by Keiki-Kane, M..",YKW,BAL,YKW,77,0,0
3,15,1,2,1,13:52,3532,3,6,YKW,23,"Rush by Rowe, D. for 1 yds. Tackle by Kennedy, D..",YKW,BAL,YKW,77,0,0
4,15,1,2,1,13:16,3496,4,5,YKW,24,"Punt by Kokot (R), B. of 67 yards.  No return. First Down!",YKW,BAL,YKW,76,0,0
5,15,1,1,1,13:06,3486,1,10,BAL,8,"Pass by Fujiwara (C), C., complete to Lewandowski, J. for 4 yds. Tackle by Dookmarriot, L..",YKW,BAL,BAL,92,0,0
6,15,1,1,1,12:28,3448,2,5,BAL,12,"Pass by Fujiwara (C), C., complete to Howlett (R), D. for 16 yds. Tackle by Dookmarriot, L.. First Down!",YKW,BAL,BAL,88,0,0
7,15,1,1,1,11:46,3406,1,10,BAL,29,"Pass by Fujiwara (C), C. to Howlett (R), D. falls incomplete.",YKW,BAL,BAL,71,0,0
8,15,1,1,1,11:28,3388,2,10,BAL,29,"Pass by Fujiwara (C), C. to Catchem8, Z. falls incomplete.",YKW,BAL,BAL,71,0,0
9,15,1,1,1,11:12,3372,3,10,BAL,29,"Pass by Fujiwara (C), C., complete to Lewandowski, J. for 21 yds. Tackle by Leonard, M.. First Down!",YKW,BAL,BAL,71,0,0
10,15,1,1,1,10:13,3313,1,10,YKW,49,"Pass by Fujiwara (C), C., complete to Lewandowski, J. for 5 yds. Tackle by Z, D..",YKW,BAL,BAL,49,0,0
11,15,1,1,1,9:34,3274,2,4,YKW,44,"Rush by Fukushu, M. for 4 yds. Tackle by Dookmarriot, L.. First Down!",YKW,BAL,BAL,44,0,0
12,15,1,1,1,9:02,3242,1,10,YKW,39,"Pass by Fujiwara (C), C. to Howlett (R), D. is incomplete. Broken up by Leonard, M..",YKW,BAL,BAL,39,0,0
13,15,1,1,1,8:42,3222,2,10,YKW,39,"Pass by Fujiwara (C), C., complete to Lewandowski, J. for 5 yds. Tackle by Valdyr, M..",YKW,BAL,BAL,39,0,0
14,15,1,1,1,8:11,3191,3,4,YKW,34,"Rush by Fukushu, M. for 33 yds. Tackle by Quaid, D.. First Down!",YKW,BAL,BAL,34,0,0
15,15,1,1,1,7:21,3141,1,1,YKW,1,"Yellowknife Penalty on Thebaw (R), S.: Encroachment.",YKW,BAL,BAL,1,0,0
16,15,1,1,1,7:21,3141,1,1,YKW,1,"Rush by Fukushu, M. for a short gain. Tackle by Alexander (C), N..",YKW,BAL,BAL,1,0,0
17,15,1,1,1,7:04,3124,2,1,YKW,1,"Rush by Fukushu, M. for a short gain. Tackle by Quaid, D..",YKW,BAL,BAL,1,0,0
18,15,1,1,1,6:34,3094,3,1,YKW,1,"Rush by Fukushu, M. for a short gain. Tackle by Lyons, B..",YKW,BAL,BAL,1,0,0
19,15,1,1,1,6:18,3078,4,1,YKW,1,"17 yard FG by Small, J. is good.",YKW,BAL,BAL,1,0,3
20,15,1,1,1,6:18,3078,1,10,YKW,25,"Kickoff by Small, J. deep into the endzone. Walker (R), M. kneels for a touchback.",YKW,BAL,BAL,25,0,3
21,15,1,2,1,6:18,3078,1,10,YKW,25,"Rush by Z, D. for 1 yds. Tackle by Harris, C..",YKW,BAL,YKW,75,0,3
22,15,1,2,1,5:44,3044,2,8,YKW,26,"Pass by Jack, C. to Vermillion (R), J. was dropped! Incomplete.",YKW,BAL,YKW,74,0,3
23,15,1,2,1,5:29,3029,3,8,YKW,26,"Pass by Jack, C., complete to Sakura (C), K. for 26 yds. Tackle by Stackinpaper, B.. First Down!",YKW,BAL,YKW,74,0,3
24,15,1,2,1,4:44,2984,1,10,BAL,47,"Rush by Z, D. for -1 yds. Tackle by De Ville (C), D..",YKW,BAL,YKW,47,0,3
25,15,1,2,1,4:14,2954,2,11,BAL,49,"Pass by Jack, C., complete to Z, D. for 7 yds. Tackle by Z, D..",YKW,BAL,YKW,49,0,3
26,15,1,2,1,3:43,2923,3,4,BAL,42,"Pass by Jack, C., complete to Kross, C. for 12 yds. Tackle by Avery, E.. First Down!",YKW,BAL,YKW,42,0,3
27,15,1,2,1,3:03,2883,1,10,BAL,29,"Rush by Rowe, D. for 1 yds. Tackle by Hole, M..",YKW,BAL,YKW,29,0,3
28,15,1,2,1,2:46,2866,2,8,BAL,27,"Rush by Z, D. for 6 yds. Tackle by De Ville (C), D.. Yellowknife Penalty on Pooky, S.: Unsportsmanlike Conduct.",YKW,BAL,YKW,27,0,3
29,15,1,2,1,2:30,2850,3,17,BAL,36,"Pass by Jack, C. to Sakura (C), K. is incomplete. Broken up by Stackinpaper, B..",YKW,BAL,YKW,36,0,3
30,15,1,2,1,2:15,2835,4,17,BAL,36,"53 yard FG by Kokot (R), B. is good.",YKW,BAL,YKW,36,3,3
31,15,1,2,1,2:15,2835,1,10,BAL,25,"Kickoff by Kokot (R), B. through the back of the endzone. Touchback.",YKW,BAL,YKW,25,3,3
32,15,1,1,1,2:15,2835,1,10,BAL,25,"Rush by Fukushu, M. for 16 yds. Tackle by Foster (R), D.. First Down!",YKW,BAL,BAL,75,3,3
33,15,1,1,1,1:54,2814,1,10,BAL,41,"Fujiwara (C), C. is SACKED by Nero Alexander (C) - DE for -10 yds.",YKW,BAL,BAL,59,3,3
34,15,1,1,1,1:36,2796,2,20,BAL,31,"Pass by Fujiwara (C), C., complete to Campbell (R), J. for 64 yds. Tackle by Foster (R), D.. First Down!",YKW,BAL,BAL,69,3,3
35,15,1,1,1,0:38,2738,1,4,YKW,4,"Pass by Fujiwara (C), C., complete to Campbell (R), J. for 4 yds. TOUCHDOWN!  (Small kick good)",YKW,BAL,BAL,4,3,10
36,15,1,1,1,0:19,2719,1,10,YKW,25,"Kickoff by Small, J. through the back of the endzone. Touchback.",YKW,BAL,BAL,25,3,10
37,15,1,2,1,0:19,2719,1,10,YKW,25,"Rush by Z, D. for 4 yds. Tackle by Syracuse, I..",YKW,BAL,YKW,75,3,10
38,15,1,2,1,0:01,2701,2,5,YKW,29,"Rush by Z, D. for 0 yds. Tackle by De Ville (C), D..",YKW,BAL,YKW,71,3,10
39,15,1,2,2,15:00,2700,3,5,YKW,29,"Rush by Z, D. for 8 yds. Tackle by Syracuse, I.. First Down!",YKW,BAL,YKW,71,3,10
40,15,1,2,2,14:29,2669,1,10,YKW,37,"Rush by Rowe, D. for 1 yds. Tackle by Green, W..",YKW,BAL,YKW,63,3,10
41,15,1,2,2,13:58,2638,2,8,YKW,39,"Rush by Sutton, D. for 11 yds. Tackle by Harris, C.. First Down!",YKW,BAL,YKW,61,3,10
42,15,1,2,2,13:18,2598,1,10,BAL,49,"Pass by Jack, C. to Z, D. is incomplete. Broken up by Kennedy, D..",YKW,BAL,YKW,49,3,10
43,15,1,2,2,13:01,2581,2,10,BAL,49,"Rush by Vermillion (R), J. for 12 yds. Tackle by Z, D.. First Down!",YKW,BAL,YKW,49,3,10
44,15,1,2,2,12:25,2545,1,10,BAL,37,"Pass by Jack, C., complete to Sakura (C), K. for 6 yds. Tackle by Stackinpaper, B..",YKW,BAL,YKW,37,3,10
45,15,1,2,2,11:44,2504,2,3,BAL,31,"Pass by Jack, C. to Sakura (C), K. is incomplete. Broken up by Stackinpaper, B..",YKW,BAL,YKW,31,3,10
46,15,1,2,2,11:31,2491,3,3,BAL,31,"Rush by Z, D. for 5 yds. Tackle by Syracuse, I.. First Down!",YKW,BAL,YKW,31,3,10
47,15,1,2,2,10:57,2457,1,10,BAL,25,"Pass by Jack, C., complete to Z, D. for 5 yds. Tackle by Harris, C..",YKW,BAL,YKW,25,3,10
48,15,1,2,2,10:26,2426,2,5,BAL,20,"Pass by Jack, C., complete to Rechs (R), Z. for 7 yds. Tackle by De Ville (C), D.. First Down!",YKW,BAL,YKW,20,3,10
49,15,1,2,2,9:47,2387,1,10,BAL,13,"Rush by Rowe, D. for 1 yds. Tackle by Goodman (R), G..",YKW,BAL,YKW,13,3,10
50,15,1,2,2,9:11,2351,2,8,BAL,11,"Pass by Jack, C., complete to Kross, C. for 11 yds. TOUCHDOWN!  (Kokot (R) kick good)",YKW,BAL,YKW,11,10,10
51,15,1,2,2,8:52,2332,1,10,BAL,25,"Kickoff by Kokot (R), B. through the back of the endzone. Touchback.",YKW,BAL,YKW,25,10,10
52,15,1,1,2,8:52,2332,1,10,BAL,25,"Pass by Fujiwara (C), C., complete to Howlett (R), D. for 9 yds. Tackle by Leonard, M..",YKW,BAL,BAL,75,10,10
53,15,1,1,2,8:11,2291,2,1,BAL,34,"Rush by Fukushu, M. for 2 yds. Tackle by Quaid, D.. First Down!",YKW,BAL,BAL,66,10,10
54,15,1,1,2,7:47,2267,1,10,BAL,36,"Pass by Fujiwara (C), C., complete to Lewandowski, J. for 7 yds. Tackle by Valdyr, M..",YKW,BAL,BAL,64,10,10
55,15,1,1,2,7:10,2230,2,2,BAL,44,"Pass by Fujiwara (C), C. to Howlett (R), D. falls incomplete.",YKW,BAL,BAL,56,10,10
56,15,1,1,2,6:49,2209,3,2,BAL,44,"Fujiwara (C), C. is SACKED by James Cho - DE for -11 yds.",YKW,BAL,BAL,56,10,10
57,15,1,1,2,6:18,2178,4,14,BAL,32,"Punt by Small, J. of 28 yards. Returned by Walker (R), M. for 15 yards. First Down!",YKW,BAL,BAL,68,10,10
58,15,1,2,2,6:04,2164,1,10,BAL,45,"Pass by Jack, C., complete to Z, D. for 6 yds. Tackle by Z, D..",YKW,BAL,YKW,45,10,10
59,15,1,2,2,5:34,2134,2,4,BAL,39,"Rush by Rowe, D. for 1 yds. Tackle by De Ville (C), D..",YKW,BAL,YKW,39,10,10
60,15,1,2,2,5:00,2100,3,3,BAL,38,"Baltimore Penalty on Hole, M.: Encroachment.",YKW,BAL,YKW,38,10,10
61,15,1,2,2,5:00,2100,0,0,BAL,33,"Pass by Jack, C., complete to Rechs (R), Z. for 12 yds. Tackle by De Ville (C), D.. First Down!",YKW,BAL,YKW,33,10,10
62,15,1,2,2,4:10,2050,1,10,BAL,21,"Rush by Z, D. for -1 yds. Tackle by De Ville (C), D..",YKW,BAL,YKW,21,10,10
63,15,1,2,2,3:36,2016,2,11,BAL,23,"Rush by Rowe, D. for 6 yds. Tackle by De Ville (C), D.. Baltimore Penalty on Keiki-Kane, M.: Unsportsmanlike Conduct. First Down!",YKW,BAL,YKW,23,10,10
64,15,1,2,2,3:18,1998,1,8,BAL,8,"Rush by Z, D. for -1 yds. Tackle by Kennedy, D..",YKW,BAL,YKW,8,10,10
65,15,1,2,2,2:51,1971,2,9,BAL,9,"Pass by Jack, C., complete to Kross, C. for 5 yds. Tackle by Avery, E..",YKW,BAL,YKW,9,10,10
66,15,1,2,2,2:34,1954,3,4,BAL,4,"Pass by Jack, C., complete to Kross, C. for 4 yds. TOUCHDOWN!  (Kokot (R) kick good)",YKW,BAL,YKW,4,17,10
67,15,1,2,2,2:18,1938,3,65,YKW,35,"Kokot (R), B. kicks off. The kick sails into the endzone. Campbell (R), J. brings it out of the endzone! Campbell (R), J. takes it down the left side. Campbell (R), J. is finally brought down. A 33 yard return. First Down!",YKW,BAL,YKW,65,17,10
68,15,1,1,2,2:13,1933,1,10,BAL,33,"Rush by Fukushu, M. for 3 yds. Tackle by Quaid, D.. Yellowknife Penalty on Alexander (C), N.: Unsportsmanlike Conduct. First Down!",YKW,BAL,BAL,67,17,10
69,15,1,1,2,2:06,1926,1,10,YKW,48,"Rush by Fukushu, M. for 4 yds. Tackle by Quaid, D..",YKW,BAL,BAL,48,17,10
70,15,1,1,2,1:55,1915,2,5,YKW,44,"Rush by Fukushu, M. for a short gain. Tackle by Dookmarriot, L..",YKW,BAL,BAL,44,17,10
71,15,1,1,2,1:41,1901,3,5,YKW,43,"Pass by Fujiwara (C), C. to Ash, R. is incomplete. Broken up by Dookmarriot, L..",YKW,BAL,BAL,43,17,10
72,15,1,1,2,1:30,1890,4,5,YKW,43,"Pass by Fujiwara (C), C., complete to Campbell (R), J. for 4 yds. Tackle by Foster (R), D.. Turnover on downs.",YKW,BAL,BAL,43,17,10
73,15,1,2,2,1:20,1880,1,10,YKW,39,"Rush by Z, D. for a short gain. Tackle by De Ville (C), D..",YKW,BAL,YKW,61,17,10
74,15,1,2,2,0:52,1852,2,10,YKW,39,"Rush by Z, D. for a short gain. Tackle by De Ville (C), D..",YKW,BAL,YKW,61,17,10
75,15,1,2,2,0:17,1817,3,10,YKW,39,"Rush by Rowe, D. for 9 yds. Tackle by Kennedy, D..",YKW,BAL,YKW,61,17,10
76,15,1,2,3,15:00,1800,0,0,BAL,32,"Kickoff by Kokot (R), B. of 65 yards. Fukushu, M. takes it down the middle. Fukushu, M. is finally brought down. A 32 yard return. First Down!",YKW,BAL,YKW,32,17,10
77,15,1,1,3,14:51,1791,1,10,BAL,32,"Yellowknife Penalty on Money, P.: Too many men on the field.",YKW,BAL,BAL,68,17,10
78,15,1,1,3,14:51,1791,1,5,BAL,37,"Rush by Fukushu, M. for 4 yds. Tackle by Quaid, D..",YKW,BAL,BAL,63,17,10
79,15,1,1,3,14:23,1763,2,1,BAL,42,"Rush by Fukushu, M. for -2 yds. Tackle by Ness, C..",YKW,BAL,BAL,58,17,10
80,15,1,1,3,13:53,1733,3,2,BAL,40,"Pass by Fujiwara (C), C. to Howlett (R), D. falls incomplete.",YKW,BAL,BAL,60,17,10
81,15,1,1,3,13:29,1709,4,2,BAL,40,"Punt by Small, J. of 60 yards.  Touchback.",YKW,BAL,BAL,60,17,10
82,15,1,2,3,13:25,1705,1,10,YKW,25,"Rush by Z, D. for -1 yds. Tackle by Annastesia, N..",YKW,BAL,YKW,75,17,10
83,15,1,2,3,12:55,1675,2,11,YKW,23,"Pass by Jack, C., complete to Sakura (C), K. for 9 yds. Tackle by Z, D.. Yellowknife Penalty on Z, D.: Unsportsmanlike Conduct.",YKW,BAL,YKW,77,17,10
84,15,1,2,3,12:27,1647,3,17,YKW,18,"Pass by Jack, C., complete to Rechs (R), Z. for 14 yds. Tackle by Green, W..",YKW,BAL,YKW,82,17,10
