,Q,Score Type,Time Remaining,Play,NO,COL
1,1,FG,9:25,43 yd FG by Peg Leg,3,0
2,1,FG,5:53,41 yd FG by Micycle McCormick,3,3
3,1,TD,3:53,Darren Smallwood 89 yd run. (Peg Leg kick),10,3
5,2,TD,6:36,Conall O'Sullivan 6 yd pass from Borkus Maximus III. (Peg Leg kick),17,3
6,2,FG,0:26,32 yd FG by Micycle McCormick,17,6
8,3,TD,11:40,Ardie Savea 13 yd pass from Borkus Maximus III. (Peg Leg XP no good),23,6
9,3,FG,2:19,42 yd FG by Peg Leg,26,6
11,4,FG,6:10,22 yd FG by Micycle McCormick,26,9
12,4,TD,4:21,Blackford Oakes 59 yd pass from Borkus Maximus III. (Peg Leg kick),33,9
13,4,FG,0:24,35 yd FG by Peg Leg,36,9
