,Q,Score Type,Time Remaining,Play,AUS,CHI
1,1,FG,7:11,31 yd FG by Alfredo Crisco,3,0
2,1,TD,3:22,Sean O'Leary 10 yd pass from Rose Jenkins. (Kulture Fulture XP no good),3,6
4,2,TD,11:59,Rod Tidwell 3 yd pass from Easton Cole. (Alfredo Crisco kick),10,6
5,2,TD,2:12,Jacoby Clay (R) 33 yd pass from Easton Cole. (Alfredo Crisco kick),17,6
7,3,TD,11:23,Sean O'Leary 12 yd pass from Rose Jenkins. (Kulture Fulture XP no good),17,12
8,3,TD,5:38,Rose Jenkins 1 yd run. (Kulture Fulture kick),17,19
9,3,FG,3:10,39 yd FG by Alfredo Crisco,20,19
10,3,TD,0:09,Rod Tidwell 17 yd pass from Easton Cole. (Alfredo Crisco kick),27,19
12,4,TD,10:06,Aksel Danielsson 7 yd run. (2pt conversion failed),27,25
13,4,FG,5:07,56 yd FG by Kulture Fulture,27,28
