Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Vuxta, R.",PHI,8,91,11.4,25,1,14,25
"Panda, F.",PHI,4,65,16.2,34,1,14,25
"Blocksdale Jr., A.",PHI,4,35,8.8,10,0,14,25
"Dotson, F.",PHI,3,19,6.3,8,0,14,25
"Chambers, K.",PHI,2,21,10.5,13,0,14,25
"Arrabiata, D.",PHI,2,15,7.5,9,0,14,25
"Torenson, S.",PHI,1,11,11,11,0,14,25
"Hood, T.",SJS,4,103,25.8,46,0,14,25
"Swift, N.",SJS,4,31,7.8,13,1,14,25
"Cardrissian, R.",SJS,2,39,19.5,36,0,14,25
"Thomas-Fox, D.",SJS,2,37,18.5,29,1,14,25
"Lackson, J.",SJS,1,9,9,9,0,14,25
"George, D.",SJS,1,2,2,2,0,14,25
