Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Suzuki, S.",PHI,11,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,14,25
"DeSoto, J.",PHI,9,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Om, T.",PHI,6,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Zelos, J.",PHI,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,14,25
"Booker, B.",PHI,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Cross, M.",PHI,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Eriksen, W.",PHI,4,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Gronlie, T.",PHI,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Haywood, H.",PHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Wrecks, T.",PHI,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"D'Attoria V, R.",PHI,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Hayes, R.",PHI,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,14,25
"Hilliard, R.",SJS,9,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,14,25
"PickSix, H.",SJS,6,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,14,25
"Brackenridge, T.",SJS,5,0,1,1/0,2,0,0,0,0/0/0,0,0,0,0,14,25
"Fisher, G.",SJS,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Lanier, B.",SJS,5,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Stein, P.",SJS,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,14,25
"Vaughne, R.",SJS,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,14,25
"Bass, L.",SJS,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Allen, O.",SJS,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
"Crowder, R.",SJS,1,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,14,25
