Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Olsen, C.",SJS,4,31,7.8,13,1,11,15
"Oles, K.",SJS,4,29,7.2,11,0,11,15
"Flash, X.",SJS,3,89,29.7,53,0,11,15
"Justice, T.",SJS,3,57,19,33,0,11,15
"Wright, D.",SJS,3,16,5.3,8,0,11,15
"Davenport, C.",SJS,1,6,6,6,0,11,15
"Orosz, C.",SJS,1,6,6,6,0,11,15
"Swift, N.",YKW,7,66,9.4,22,0,11,15
"Canton, J.",YKW,5,73,14.6,43,0,11,15
"Parker, J.",YKW,5,66,13.2,23,0,11,15
"Marshall, M.",YKW,2,5,2.5,3,0,11,15
"Helanen, T.",YKW,1,23,23,23,0,11,15
"Wizardry, D.",YKW,1,19,19,19,0,11,15
