,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,TD,7:57,Dick (R) Wizardry 1 yd run. (None Forfeit kick),0,7
2,1,FG,4:12,46 yd FG by None Forfeit,0,10
3,1,FG,0:38,44 yd FG by Beat Meoff,3,10
5,2,TD,10:11,Brad Pennington 6 yd pass from Ryan Applehort. (None Forfeit kick),3,17
6,2,TD,6:16,Borro Gore 1 yd run. (Beat Meoff kick),10,17
7,2,TD,1:40,Blessed Storm 17 yd pass from Borkus Maximus III. (Beat Meoff kick),17,17
9,3,TD,1:43,Paul DiMirio 1 yd pass from Borkus Maximus III. (Beat Meoff kick),24,17
11,4,TD,13:24,Blessed Storm 8 yd pass from Borkus Maximus III. (Beat Meoff kick),31,17
12,4,TD,4:54,Thjalfi (R) Halvorsen 7 yd pass from Borkus Maximus III. (Beat Meoff kick),38,17
13,4,TD,1:09,Brad Pennington 30 yd pass from Ryan Applehort. (None Forfeit XP no good),38,23
