Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Chess, C.",ARI,7,122,17.4,41,0,12,3
"Evans, D.",ARI,6,104,17.3,53,0,12,3
"Law, C.",ARI,2,13,6.5,8,0,12,3
"Zhang, S.",ARI,1,8,8,8,0,12,3
"Mackworthy, R.",ARI,1,7,7,7,0,12,3
"Tuck, J.",ARI,1,6,6,6,0,12,3
"Vincent, M.",BAL,7,40,5.7,9,0,12,3
"Christmas, C.",BAL,6,53,8.8,17,1,12,3
"Willie, T.",BAL,5,87,17.4,29,0,12,3
"Stormblessed, N.",BAL,4,45,11.2,19,0,12,3
"Farlane, D.",BAL,3,21,7,10,0,12,3
"Robinson, M.",BAL,1,6,6,6,0,12,3
"Sanderson, J.",BAL,1,0,0,0,0,12,3
