,Q,Score Type,Time Remaining,Play,BAL,ARI
1,1,TD,14:43,None Stormblessed 92 yd kickoff return. (Turk Turkleton kick),7,0
2,1,FG,3:21,42 yd FG by Cristiano Ronaldo,7,3
4,2,FG,8:59,36 yd FG by Turk Turkleton,10,3
5,2,FG,5:46,57 yd FG by Turk Turkleton,13,3
6,2,FG,0:02,25 yd FG by Turk Turkleton,16,3
8,3,TD,9:07,Cooper Christmas 5 yd pass from Scrub Kyubee. (Turk Turkleton kick),23,3
9,3,TD,6:17,Reg Mackworthy 1 yd run. (Cristiano Ronaldo kick),23,10
10,3,FG,2:53,30 yd FG by Cristiano Ronaldo,23,13
12,4,FG,13:01,47 yd FG by Cristiano Ronaldo,23,16
13,4,TD,9:03,Reg Mackworthy 5 yd run. (Cristiano Ronaldo kick),23,23
15,5,FG,12:17,28 yd FG by Turk Turkleton,26,23
