Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Lumburgh, B.",OCO,1,5,6,0
"Waddams, M.",OCO,1,5,5,0
"Bolton, M.",OCO,0,0,6,0
"Nagheenanajar, S.",OCO,0,0,6,0
"Gibbons, P.",OCO,0,0,4,1
"Zephyrous, S.",OCO,0,0,1,0
"Hobbs, J.",BAL,2,30,0,0
"Trout, C.",BAL,1,5,0,0
"Oats, S.",BAL,1,5,0,0
"Wojcik, B.",BAL,1,15,0,0
"Diggler, D.",BAL,0,0,6,0
"Star, L.",BAL,0,0,5,0
"Jeremy, R.",BAL,0,0,4,1
"Grey, S.",BAL,0,0,3,1
"Steele, R.",BAL,0,0,3,0
"Harp, D.",BAL,0,0,2,0
"L'Alto, V.",BAL,0,0,2,0
"Summer, A.",BAL,0,0,0,2
"Taylor, O.",BAL,0,0,0,1
