Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Ramero, R.",OCO,8,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Rice, J.",OCO,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Bly Jr., A.",OCO,6,0,0,0/0,3,0,0,0,"[0, 0, 0]"
"Broxton, J.",OCO,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Grithead, D.",OCO,6,0,0,1/0,0,0,0,0,"[0, 0, 0]"
"Brown, M.",OCO,5,0,1,1/0,2,0,0,0,"[0, 0, 0]"
"Spector, M.",OCO,4,0,0,1/1,0,0,0,0,"[0, 0, 0]"
"Bagwell, N.",OCO,3,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Clegane, G.",OCO,2,1,0,0/1,0,0,0,0,"[0, 0, 0]"
"Winchester, A.",OCO,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Sunnycursed, N.",OCO,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Roenick, A.",BAL,10,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Trout, C.",BAL,8,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Oats, S.",BAL,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Schneider, D.",BAL,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Arnold, D.",BAL,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Oakes, B.",BAL,4,0,0,1/0,4,1,0,1,"[0, 0, 0]"
"Fletcher, G.",BAL,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Wojcik, B.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hobbs, J.",BAL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Gambino, C.",BAL,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
