,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,TD,12:48,Alexandre LeClair 35 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,0
2,1,TD,9:59,Robert Phelps 10 yd pass from Mike Boss. (Bradley Madlad kick),7,7
3,1,TD,8:25,Jordan Yates 1 yd pass from Mike Boss. (Bradley Madlad kick),7,14
5,2,FG,8:40,21 yd FG by Turk Turkleton,10,14
6,2,TD,5:42,Verso L'Alto 1 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,14
7,2,FG,2:16,21 yd FG by Bradley Madlad,17,17
9,3,TD,9:19,Owen Taylor 1 yd run. (Turk Turkleton kick),24,17
10,3,FG,6:20,31 yd FG by Bradley Madlad,24,20
12,4,TD,14:10,Alexandre LeClair 13 yd pass from Avon Blocksdale. (Turk Turkleton kick),31,20
13,4,TD,5:00,Bradley Westfield 10 yd pass from Mike Boss. (2pt conversion failed),31,26
