Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Smith, W.",OCO,1,5,3,0,3,8
"Ruger, W.",OCO,1,10,1,3,3,8
"Broxton, J.",OCO,1,1,0,0,3,8
"Burnsman, E.",OCO,1,5,0,0,3,8
"Enchant, E.",OCO,1,5,0,0,3,8
"Sierra, R.",OCO,1,4,0,0,3,8
"Wesson, D.",OCO,0,0,8,0,3,8
"Savage, B.",OCO,0,0,4,2,3,8
"Remington, J.",OCO,0,0,4,0,3,8
"Yates, J.",OCO,0,0,2,1,3,8
"Star, L.",BAL,1,5,4,0,3,8
"Diggler, D.",BAL,1,5,2,0,3,8
"Gambino, C.",BAL,1,5,0,0,3,8
"Browning, B.",BAL,1,15,0,0,3,8
"Hendrix, K.",BAL,1,1,0,0,3,8
"Kyubee, S.",BAL,1,10,0,0,3,8
"Roenick, A.",BAL,1,5,0,0,3,8
"Grey, S.",BAL,0,0,5,0,3,8
"L'Alto, V.",BAL,0,0,4,0,3,8
"Steele, R.",BAL,0,0,3,0,3,8
"Taylor, O.",BAL,0,0,2,0,3,8
"Jeremy, R.",BAL,0,0,1,0,3,8
