Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Horne, B.",SJS,9,1,1,0,0,0,0,0,0,0,0,0,9,10
"Hansen, A.",SJS,7,0,1,0,0,0,0,0,0,0,0,0,9,10
"Barnhardt, B.",SJS,5,1,0,0,0,0,0,0,0,0,0,0,9,10
"Harrison, S.",SJS,5,1,1,1,0,0,0,0,0,0,0,0,9,10
"Brill, J.",SJS,4,0,1,0,0,0,0,0,0,0,0,0,9,10
"Canton, J.",SJS,4,0,0,1,1,0,0,0,0,0,0,0,9,10
"Chambers III, C.",SJS,4,0,0,0,0,0,0,0,0,0,0,0,9,10
"Deringer, K.",SJS,3,0,1,0,0,0,0,0,0,0,0,0,9,10
"Poopsie, D.",SJS,3,0,0,0,0,0,0,0,0,0,0,0,9,10
"Lewith, T.",SJS,2,0,0,0,0,0,0,0,0,0,0,0,9,10
"Washington, L.",SJS,2,0,0,1,0,0,0,0,0,0,0,0,9,10
"Marrett, O.",SJS,1,0,0,0,0,0,0,0,0,0,0,0,9,10
"Hayden, A.",PHI,7,0,0,1,1,0,0,0,0,0,0,0,9,10
"Tucker, P.",PHI,7,0,0,2,1,0,0,0,0,0,0,0,9,10
"Kronen, R.",PHI,6,0,1,0,0,0,0,0,0,0,0,0,9,10
"Verns, D.",PHI,6,0,0,1,0,0,0,0,0,0,0,0,9,10
"Felix, L.",PHI,5,0,0,2,0,0,0,0,0,0,0,0,9,10
"Marchand, J.",PHI,5,0,0,2,0,0,0,0,0,0,0,0,9,10
"David, M.",PHI,4,0,0,0,0,0,0,0,0,0,0,0,9,10
"StoneHandsBot, Z.",PHI,4,1,0,0,0,0,0,0,0,0,0,0,9,10
"Lee, J.",PHI,3,1,0,1,0,0,0,0,0,0,0,0,9,10
"Davidson, D.",PHI,2,1,0,0,0,0,0,0,0,0,0,0,9,10
"Weathers III, B.",PHI,2,0,1,0,0,0,0,0,0,0,0,0,9,10
