,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,FG,11:47,18 yd FG by Jordan Jackson (R),0,3
2,1,TD,8:21,Michael Vincent 4 yd run. (Jordan Jackson (R) kick),0,10
3,1,FG,1:10,29 yd FG by Neo Donaldson,3,10
5,2,TD,11:41,Armor King 2 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),3,17
6,2,FG,0:13,34 yd FG by Neo Donaldson,6,17
8,3,TD,14:44,Jim McMahon 101 yd kickoff return. (Jordan Jackson (R) kick),6,24
9,3,TD,9:51,Rayne Gordon (R) 7 yd pass from Cooter Bigsby. (Neo Donaldson kick),13,24
10,3,TD,7:19,James Bishop 16 yd pass from Wolfie McDummy. (Jordan Jackson (R) kick),13,31
11,3,TD,0:17,Wolfie McDummy 17 yd run. (Jordan Jackson (R) kick),13,38
13,4,TD,11:44,Ashley Owens 5 yd run. (Jordan Jackson (R) kick),13,45
14,4,TD,6:35,Mathias Hanyadi 11 yd pass from Cooter Bigsby. (Neo Donaldson kick),20,45
15,4,FG,2:03,29 yd FG by Jordan Jackson (R),20,48
