Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Becker, K.",PHI,10,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Cobalt, R.",PHI,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Robertson, A.",PHI,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Cox III, J.",PHI,5,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Hondo, A.",PHI,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kalilmoku, I.",PHI,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Smyles, L.",PHI,3,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Felix, L.",PHI,3,0,0,0/0,3,0,0,0,"[0, 0, 0]"
"Garnett, L.",PHI,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Saul, C.",PHI,3,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Weathers III, B.",PHI,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Pennington, C.",SJS,12,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Bayley, B.",SJS,9,1,0,0/0,1,0,0,0,"[0, 0, 0]"
"Deringer, K.",SJS,7,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Troyski, X.",SJS,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Staley, T.",SJS,4,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Pennington, T.",SJS,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Riposte, F.",SJS,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Methane, D.",SJS,2,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Poopsie, D.",SJS,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Horne, B.",SJS,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
