Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Bush, C.",PHI,5,60,12,23,0,14,12
"von Matt, J.",PHI,3,33,11,21,0,14,12
"Hardwick, S.",PHI,2,35,17.5,27,0,14,12
"Hasselhoff, F.",PHI,2,32,16,24,0,14,12
"Brown, M.",PHI,2,17,8.5,11,1,14,12
"Flores, R.",PHI,2,2,1,2,0,14,12
"Flash, X.",SJS,4,74,18.5,31,0,14,12
"Oles, K.",SJS,4,64,16,33,1,14,12
"Justice, T.",SJS,4,57,14.2,34,0,14,12
"Brannigan, Z.",SJS,4,26,6.5,10,0,14,12
"Tuck, J.",SJS,1,6,6,6,0,14,12
"Canton, J.",SJS,1,5,5,5,0,14,12
"Orosz, C.",SJS,1,2,2,2,1,14,12
