,Q,Score Type,Time Remaining,Play,SJS,COL
1,1,FG,9:57,29 yd FG by Neo Donaldson,3,0
2,1,TD,5:21,Devo Cansino 9 yd pass from Micycle McCormick. (Emilio Ramero kick),3,7
3,1,FG,0:34,38 yd FG by Neo Donaldson,6,7
4,1,TD,0:15,James Bishop 108 yd kickoff return. (Emilio Ramero kick),6,14
6,2,TD,4:27,Joliet L. Christ 3 yd run. (Neo Donaldson kick),13,14
8,3,TD,8:49,Joliet L. Christ 8 yd run. (Neo Donaldson kick),20,14
9,3,TD,4:18,James Bishop 6 yd pass from Micycle McCormick. (Emilio Ramero XP no good),20,20
11,4,TD,13:00,Terry Taffy 2 yd run. (Emilio Ramero kick),20,27
12,4,TD,7:59,Devo Cansino 3 yd run. (Emilio Ramero kick),20,34
13,4,TD,5:52,Corwin Davenport 3 yd run. (Neo Donaldson kick),27,34
14,4,TD,0:00,Kazimir Oles 23 yd pass from Joliet L. Christ. (Neo Donaldson kick),34,34
16,5,FG,8:38,45 yd FG by Neo Donaldson,37,34
