,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,TD,8:50,Devo Cansino 9 yd run. (Kyle Corbett kick),0,7
2,1,TD,1:58,Brad Pennington 52 yd pass from Ryan Applehort. (None Forfeit kick),7,7
4,2,TD,14:16,ShaDarrien LaMelllana 11 yd pass from Micycle McCormick. (Kyle Corbett kick),7,14
5,2,FG,2:26,31 yd FG by None Forfeit,10,14
6,2,TD,2:07,Howard Miller 104 yd kickoff return. (Kyle Corbett kick),10,21
8,3,FG,11:17,20 yd FG by Kyle Corbett,10,24
9,3,TD,3:52,Micycle McCormick 1 yd run. (Kyle Corbett kick),10,31
11,4,TD,5:54,Thomas Carrasco 10 yd run. (None Forfeit kick),17,31
12,4,TD,4:34,Logan Lejune 18 yd interception return. (Kyle Corbett kick),17,38
13,4,TD,0:32,Tommy Helanen 1 yd pass from Ryan Applehort. (None Forfeit kick),24,38
